word,regional
raspberry,"[0.7374555637452572, 0.2625444362547428]"
kebab,"[0.7377793248314722, 0.26222067516852776]"
beef,"[0.737877634800348, 0.2621223651996521]"
tomato,"[0.737877634800348, 0.2621223651996521]"
top,"[0.737877634800348, 0.2621223651996521]"
syrup,"[0.737877634800348, 0.2621223651996521]"
vimto,"[0.7379759210016259, 0.26202407899837415]"
bacon,"[0.7382010601759341, 0.26179893982406593]"
mozzarella,"[0.7387204633715401, 0.2612795366284599]"
citrus,"[0.7389166036342929, 0.2610833963657071]"
excellent,"[0.7389166036342929, 0.2610833963657071]"
sorry,"[0.7392392000892898, 0.2607607999107102]"
mushroom,"[0.7397572697389212, 0.2602427302610788]"
salad,"[0.7401769442212432, 0.25982305577875675]"
food,"[0.7402746717365078, 0.2597253282634921]"
seafood,"[0.7406938043152941, 0.2593061956847059]"
calamari,"[0.7413074704714656, 0.2586925295285344]"
caramel,"[0.7419485618327797, 0.2580514381672203]"
make,"[0.742143124666276, 0.2578568753337241]"
tartare,"[0.7425602906040265, 0.25743970939597344]"
with,"[0.7429770153772328, 0.2570229846227671]"
orange,"[0.7429770153772328, 0.2570229846227671]"
find,"[0.7429770153772328, 0.2570229846227671]"
create,"[0.7430740552773323, 0.2569259447226677]"
peri,"[0.7430740552773323, 0.2569259447226677]"
brownie,"[0.7433932986957091, 0.25660670130429086]"
shish,"[0.743490235688643, 0.25650976431135697]"
base,"[0.743490235688643, 0.25650976431135697]"
chocolate,"[0.7439059742911538, 0.25609402570884615]"
wing,"[0.7439059742911538, 0.25609402570884615]"
coke,"[0.7440027843063495, 0.25599721569365047]"
pizzas,"[0.7444179777609188, 0.2555820222390813]"
vegetable,"[0.7452470370733049, 0.2547529629266951]"
gravy,"[0.746170594428414, 0.253829405571586]"
served,"[0.7470919398480187, 0.2529080601519813]"
bbq,"[0.7470919398480187, 0.2529080601519813]"
chef,"[0.7470919398480187, 0.2529080601519813]"
creamy,"[0.7470919398480187, 0.2529080601519813]"
touch,"[0.7471879547875947, 0.2528120452124053]"
next,"[0.7471879547875947, 0.2528120452124053]"
east,"[0.7471879547875947, 0.2528120452124053]"
meatballs,"[0.7471879547875947, 0.2528120452124053]"
friendly,"[0.7471879547875947, 0.2528120452124053]"
house,"[0.7475997348398573, 0.2524002651601427]"
very,"[0.7475997348398573, 0.2524002651601427]"
