word,cityNumber,word_central_lon,word_central_lat,radius,median,shopNumberLessThanMedian,shopNumberLargerThanMedian,largestDistance,avgDistance,word_ratio
pudding,16,-3.3417162428100626,55.58021801983014,609942.0137195664,296763.42,50,14,843290.0,325409.94,0.67
contact,16,-2.4675747532044032,53.49373948119616,481521.87003319914,374364.31,9,16,592259.66,345210.28,0.12
olives,16,-2.5138052800505877,54.57962357312093,558644.0416672836,288633.78,18,14,577912.08,286470.11,0.25
fanta l,16,-2.701078072205464,54.27749726785133,520216.7227267636,349440.71,16,15,656898.57,343278.59,0.32
ben,16,-2.2234037581530113,54.2680600935722,519949.09141190344,331323.21,10,12,664700.0,319485.16,0.32
website,16,-2.444603088850617,53.78880909653491,492514.1591574879,230411.02,15,14,754021.91,289288.85,0.41
tub,16,-2.9936470160208537,54.91841034066314,615283.9483624693,395749.92,26,11,902361.37,413956.29,0.03
pcs,16,-1.7854726229085984,53.24218398709533,528072.3948514183,323613.89,17,13,873000.38,333263.0,0.47
road,16,-2.649683547473907,54.03924642515534,474879.923022276,338603.56,13,16,753700.33,345072.25,0.1
day,16,-2.027976238984062,53.43441604115327,599176.4472853338,292291.78,11,16,680291.42,326057.71,0.3
discounts,16,-2.5194378363770276,54.068073311155274,471521.79722656397,242609.87,17,18,607615.07,292025.66,0.37
cone,16,-2.2966524211070536,53.189662666662734,557312.4167477782,321822.69,23,13,866497.31,338299.01,0.53
promotions,16,-1.8000011563054135,53.82971005428208,530179.4338388669,229062.67,16,13,651687.75,259266.07,0.38
spring roll,16,-1.8619888150910968,53.24847703227912,539992.4066565882,192751.43,20,13,568266.13,239625.42,0.64
pot,16,-1.4122789113394763,52.69009319446059,425067.82310008706,259074.65,12,10,608334.21,257925.08,0.36
pop,16,-1.6297081292853333,53.76776211069399,252378.31080830464,201645.01,24,11,756538.22,220406.18,0.63
store,16,-2.2600013815988484,54.239057847838545,461692.67888990225,225294.84,14,18,573622.81,273697.79,0.38
king,16,-3.1892712564438432,55.33060377575437,558328.7190380803,286676.38,34,13,975188.18,369291.55,0.68
quarter pounder burger,16,-2.669858950044538,54.71869194962425,563196.9289444813,273051.05,17,14,602819.09,310683.41,0.29
bbq,16,-2.802892280046291,53.45140258290158,501193.83375486423,321688.04,12,10,806485.55,330368.77,0.27
cooking,15,-1.7633450077885466,53.79762938080415,537045.0217331965,244475.7,15,13,657939.92,263346.86,0.36
sms,15,-1.7633450077885466,53.79762938080415,537045.0217331965,244475.7,15,13,657939.92,263346.86,0.36
notifications,15,-1.7633450077885466,53.79762938080415,537045.0217331965,244475.7,15,13,657939.92,263346.86,0.36
notifications emails,15,-1.7633450077885466,53.79762938080415,537045.0217331965,244475.7,15,13,657939.92,263346.86,0.36
salt,15,-2.3028207111688097,54.10369781735707,492476.6593496688,166421.62,13,10,632293.61,277018.92,0.57
condition,15,-1.7629269023539003,53.79749157825157,537081.7988521665,244452.69,16,13,657968.45,263340.44,0.38
what information protection services,15,-1.7633450077885466,53.79762938080415,537045.0217331965,244475.7,15,13,657939.92,263346.86,0.36
comments,15,-1.809645643654741,53.83480031665654,528986.2669226644,218592.63,15,14,650676.14,256355.85,0.41
deal,15,-2.761597365311811,54.092651864104354,482787.94605487084,314686.61,11,13,689646.08,309406.46,0.21
forms,15,-1.7633450077885466,53.79762938080415,537045.0217331965,244475.7,15,13,657939.92,263346.86,0.36
half,15,-2.3876618936138962,53.70585017734053,465525.0183945054,233142.73,14,15,632797.21,253190.08,0.24
promotion,15,-1.7633450077885466,53.79762938080415,537045.0217331965,244475.7,15,13,657939.92,263346.86,0.36
title,15,-1.8196688988896972,53.95382205865803,506957.58805210114,217884.84,15,13,776976.61,297053.7,0.29
vegetable burger,15,-2.3525827532237575,54.36682360967968,518816.855129253,322547.06,10,14,753870.71,316049.87,0.33
banana,15,-2.4820293923019445,53.55858489692607,603293.827162562,387773.72,8,11,677625.14,394790.31,0.16
side,15,-1.9302245350915685,53.57341164076398,511627.07139674755,201933.13,15,10,809281.16,282407.32,0.6
mince,15,-3.117781410731326,55.5246793963009,375354.67821399454,224377.98,28,10,737376.91,270514.5,0.71
