word,cityNumber,word_central_lon,word_central_lat,radius,median,shopNumberLessThanMedian,shopNumberLargerThanMedian,largestDistance,avgDistance,word_ratio
designed,11,-2.010962248213502,52.93753262944533,441027.5949095367,294727.11,8,8,534870.97,269153.16,0.44
year,11,-1.8802326964182368,53.705064356769384,457915.98582219053,214642.84,7,7,732517.74,266084.08,0.36
americano,11,-2.5038957880252584,53.93819995808208,486739.023973367,397511.51,6,7,519967.15,303058.95,0.46
pukka,11,-1.2100129473810328,52.526635182100755,503294.22923230566,160132.87,8,7,602203.45,212629.93,0.73
tropical,11,-1.8344841975671986,53.19277825989339,484729.46485738043,300659.37,5,6,770503.02,289198.81,0.45
know,11,-2.944780609367597,53.75003323307563,518390.76254729164,368081.11,11,15,691103.7,344648.37,0.23
value,11,-1.7366473130972901,53.39368397837518,551488.693390369,104469.41,9,10,847995.45,223777.24,0.74
deluxe,11,-1.9498632859640508,54.1792619112767,461978.0688012086,246115.13,8,6,808734.34,307364.73,0.43
its,11,-2.2826644051217464,53.77125195658301,480339.7621222765,242800.75,5,8,723177.67,302228.95,0.38
boneless,11,-2.712689310371195,54.53838776163782,567892.2391519323,280979.62,8,9,630983.71,302132.99,0.47
kofte,11,-1.528433960534093,52.947782446192384,604069.0063519451,295727.08,9,6,817743.34,322167.13,0.53
salmon,11,-1.657350183486256,52.89036841535507,572182.3185235825,304600.94,8,9,609978.35,290424.26,0.47
crisp,11,-2.665590970414976,53.299174036830365,625128.8557135308,338627.09,5,7,752822.85,388640.77,0.17
simply,11,-2.554181796699903,53.80286797824442,431438.26895291643,247349.79,6,9,716253.86,298077.77,0.2
used,11,-2.8035764755995713,53.71456509955676,690407.517680635,274523.3,5,7,690407.52,316274.85,0.17
cup,11,-2.5894579452635793,53.646907723137616,615619.5294352861,275118.09,6,7,687779.15,347381.31,0.31
customers,11,-2.59923816481575,53.37609182587358,641232.127498982,322642.44,7,9,824929.47,352796.53,0.31
