word,coordinations
king rib burger,"55.86515,-4.25763"
chicken tikka punjabi masala,"56.46913,-2.97489"
cheese tomato ham onions,"54.89228,-2.93206"
chicken doner wrap,"52.9536,-1.15047 52.9536,-1.15047"
paneer pakora,"52.6386,-1.13169 52.6386,-1.13169"
fish fryers,"53.79391,-1.75206"
cake box,"52.05834,1.15472"
dough balls,"55.07216,-3.60218"
re,"53.48095,-2.23743 56.46913,-2.97489"
garlic korma,"56.46913,-2.97489"
potato scallop,"53.38297,-1.4659 53.79648,-1.54785"
chicken burger meal,"50.71936,-3.53271 51.45523,-2.59665 52.40656,-1.51217 52.40656,-1.51217 52.48142,-1.89983 52.48142,-1.89983 53.00415,-2.18538 53.38297,-1.4659 53.48095,-2.23743 53.79391,-1.75206 54.58333,-5.93333 54.58333,-5.93333 54.77560,-1.58374 54.77560,-1.58374 55.86515,-4.25763 55.95206,-3.19648"
size,"52.20765,0.13200 53.00415,-2.18538 53.38297,-1.4659 53.79391,-1.75206 54.58333,-5.93333 54.58333,-5.93333 54.66411,-2.75257 54.77560,-1.58374 54.97328,-1.61396"
j apple,"51.48,-3.18"
sma,"55.07216,-3.60218"
tomato cheese pepperoni,"52.9536,-1.15047 54.77560,-1.58374 54.97328,-1.61396"
abbots,"53.00415,-2.18538"
donner meat munchie box,"55.86515,-4.25763"
ham pineapple,"52.48142,-1.89983 52.48142,-1.89983 52.6386,-1.13169 53.38297,-1.4659 55.07216,-3.60218"
cheese chicken tikka onions,"55.45862,-4.62849"
kids box,"52.20765,0.13200"
crispy seaweed,"50.71936,-3.53271 52.20765,0.13200 53.41058,-2.97794 53.41058,-2.97794"
doner kebab chicken kebab chips,"54.89228,-2.93206"
chicken onions peppers mushrooms,"52.40656,-1.51217"
pizza mozzarella sticks,"52.40656,-1.51217"
peppers salad,"54.57309,-1.23258"
bhoona chicken tikka,"55.45862,-4.62849"
moment,"54.89228,-2.93206"
sauce doner chicken mushroom,"50.83333,0.13333"
salad sauces,"54.77560,-1.58374"
pineapple fritter slice,"52.6386,-1.13169"
stripe,"55.95206,-3.19648"
kids chicken nuggets supper,"55.45862,-4.62849"
kids boxes,"54.32822,-2.74565"
tomato cheese onion spicy beef,"54.97328,-1.61396"
bacon succulent ground beef burger,"54.58333,-5.93333"
tzatziki,"52.9536,-1.15047"
fish dippers,"53.7446,-0.33525"
pepperoni cheese tomato,"54.77560,-1.58374"
toffee pineapple,"52.20765,0.13200"
veggi burger,"53.41058,-2.97794"
cheese gourmet burger,"55.95206,-3.19648"
naga chicken tikka kebab,"52.6386,-1.13169"
chicken ham pepperoni donner meat onions,"52.6386,-1.13169"
corn pizza,"55.95206,-3.19648 55.95206,-3.19648"
capri sun,"52.9536,-1.15047 52.9536,-1.15047 53.79648,-1.54785 55.86515,-4.25763 56.46913,-2.97489"
service,"50.15201,-5.06654 50.15201,-5.06654 50.71936,-3.53271 52.6386,-1.13169 52.9536,-1.15047 52.9536,-1.15047 53.48095,-2.23743 53.48095,-2.23743 53.79391,-1.75206 53.79391,-1.75206 53.79648,-1.54785 54.77560,-1.58374 54.97328,-1.61396 54.97328,-1.61396 55.86515,-4.25763 57.47908,-4.22398"
toffee fudge,"55.95206,-3.19648"
cheese pounder meal,"55.95206,-3.19648"
crust crispy pizza,"52.9536,-1.15047"
tango,"50.71936,-3.53271 50.83333,0.13333 51.45523,-2.59665 52.40656,-1.51217 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.63220,1.28925 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 53.41058,-2.97794 53.48095,-2.23743 53.79648,-1.54785 53.79648,-1.54785 54.77560,-1.58374 54.89228,-2.93206 54.89228,-2.93206 54.97328,-1.61396 55.07216,-3.60218 55.86515,-4.25763 55.86515,-4.25763 55.95206,-3.19648 56.46913,-2.97489 57.14369,-2.09814"
erdington,"52.48142,-1.89983"
legs,"52.20765,0.13200"
sunlight temperature,"53.79391,-1.75206"
chicken kebab,"51.45523,-2.59665 51.48,-3.18 52.05834,1.15472 52.20765,0.13200 52.40656,-1.51217 52.40656,-1.51217 52.40656,-1.51217 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.63220,1.28925 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 53.00415,-2.18538 53.00415,-2.18538 53.00415,-2.18538 53.00415,-2.18538 53.00415,-2.18538 53.38297,-1.4659 53.38297,-1.4659 53.38297,-1.4659 53.41058,-2.97794 53.41058,-2.97794 53.41058,-2.97794 53.79391,-1.75206 53.79648,-1.54785 53.79648,-1.54785 54.57309,-1.23258 54.58333,-5.93333 54.77560,-1.58374 54.77560,-1.58374 54.89228,-2.93206 54.89228,-2.93206 54.90465,-1.38222 54.97328,-1.61396 54.97328,-1.61396 54.97328,-1.61396 55.07216,-3.60218 55.45862,-4.62849 55.86515,-4.25763 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 56.46913,-2.97489 56.46913,-2.97489 57.47908,-4.22398"
doner kebabs,"50.83333,0.13333"
collapse,"52.9536,-1.15047 52.9536,-1.15047 53.79391,-1.75206"
fruity blackcurrent,"54.77560,-1.58374 54.97328,-1.61396"
bounty,"53.79648,-1.54785 55.86515,-4.25763 55.86515,-4.25763 55.95206,-3.19648"
goonline,"51.48,-3.18"
dog pork sausage,"53.41058,-2.97794"
spinach ginger garlic,"53.79648,-1.54785"
sausage beef onions,"55.86515,-4.25763"
chips side,"52.9536,-1.15047"
foo yung,"50.71936,-3.53271 53.41058,-2.97794 53.41058,-2.97794 53.41058,-2.97794 53.41058,-2.97794 54.89228,-2.93206"
york burgers,"56.46913,-2.97489"
charcoal grill,"53.38297,-1.4659"
lobster cockles clams,"51.51279,-0.09184"
lamb kashmiri korma,"56.46913,-2.97489"
sausage fish bites,"52.6386,-1.13169"
fish things,"51.48,-3.18"
tel email,"54.66411,-2.75257 55.95206,-3.19648"
mushroom calzone,"53.79648,-1.54785"
pound burger,"55.95206,-3.19648"
lemon juice,"52.6386,-1.13169 54.97328,-1.61396"
calzone pollo kiev,"55.07216,-3.60218"
volvic strawberry water,"56.46913,-2.97489"
margherita pizza,"50.83333,0.13333 52.40656,-1.51217 52.40656,-1.51217 52.48142,-1.89983 52.6386,-1.13169 52.9536,-1.15047 53.38297,-1.4659 53.41058,-2.97794 53.48095,-2.23743 53.79648,-1.54785 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.97328,-1.61396 55.45862,-4.62849 55.45862,-4.62849 55.86515,-4.25763 55.86515,-4.25763 55.95206,-3.19648 55.95206,-3.19648"
order total,"54.58333,-5.93333"
inch diavola,"54.89228,-2.93206 55.07216,-3.60218"
pint amstell,"51.48,-3.18"
inch doner,"52.9536,-1.15047 53.00415,-2.18538 54.89228,-2.93206"
buffalo mozzarella tomato,"51.48,-3.18"
collection mins,"52.20765,0.13200 52.48142,-1.89983 52.63220,1.28925 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 53.00415,-2.18538 53.79391,-1.75206 53.79391,-1.75206 53.79648,-1.54785 54.57309,-1.23258 54.77560,-1.58374 54.89228,-2.93206 54.89228,-2.93206 54.89228,-2.93206 54.97328,-1.61396 54.97328,-1.61396 55.07216,-3.60218 55.07216,-3.60218 56.46913,-2.97489 57.14369,-2.09814"
plexiglas windows,"50.15201,-5.06654"
fish cake kids,"56.46913,-2.97489"
keema bhuna,"52.6386,-1.13169"
singapore chow mein spicy,"54.89228,-2.93206"
montenegro,"51.51279,-0.09184"
valuedeals,"53.79648,-1.54785"
mouth,"52.9536,-1.15047 53.79391,-1.75206 54.58333,-5.93333"
