word,regional
kids cake,"[0.5000000049998334, 0.49999999500016656]"
king prawns,"[0.5000000049998334, 0.49999999500016656]"
prices,"[0.5000000049998334, 0.49999999500016656]"
doner,"[0.5000000049998334, 0.49999999500016656]"
half chicken,"[0.5000000049998334, 0.49999999500016656]"
doner meat,"[0.5000000049998334, 0.49999999500016656]"
bbq chicken,"[0.5000000049998334, 0.49999999500016656]"
omelette,"[0.5000000049998334, 0.49999999500016656]"
family meal,"[0.5000000049998334, 0.49999999500016656]"
lemon,"[0.5000000049998334, 0.49999999500016656]"
chicken fillet,"[0.5000000049998334, 0.49999999500016656]"
service,"[0.5000000049998334, 0.49999999500016656]"
jacket potato,"[0.5000000049998334, 0.49999999500016656]"
jacket potatoes,"[0.5000000049998334, 0.49999999500016656]"
quarter pounder cheese burger,"[0.5000000049998334, 0.49999999500016656]"
cod bites,"[0.5000000049998334, 0.49999999500016656]"
fish burger,"[0.5000000049998334, 0.49999999500016656]"
inch pepperoni,"[0.5000000049998334, 0.49999999500016656]"
chicken leg,"[0.5000000049998334, 0.49999999500016656]"
jerrys,"[0.5000000049998334, 0.49999999500016656]"
chicken tikka kebab,"[0.5000000049998334, 0.49999999500016656]"
mars bar,"[0.5000000049998334, 0.49999999500016656]"
copyright,"[0.5000000049998334, 0.49999999500016656]"
fish chips,"[0.5000000049998334, 0.49999999500016656]"
dog,"[0.5000000049998334, 0.49999999500016656]"
quarter pounder beef burger,"[0.5000000049998334, 0.49999999500016656]"
soup,"[0.5000000049998334, 0.49999999500016656]"
chicken salad,"[0.5000000049998334, 0.49999999500016656]"
pounder,"[0.5000000049998334, 0.49999999500016656]"
sausage chips,"[0.5000000049998334, 0.49999999500016656]"
pizza deal,"[0.5000000049998334, 0.49999999500016656]"
everything,"[0.5000000049998334, 0.49999999500016656]"
slice,"[0.5000000049998334, 0.49999999500016656]"
chicken tikka wrap,"[0.5000000049998334, 0.49999999500016656]"
customers,"[0.5000000049998334, 0.49999999500016656]"
gravy sauce,"[0.5000000049998334, 0.49999999500016656]"
pizza bread,"[0.5000000049998334, 0.49999999500016656]"
kids sausage meal,"[0.5000000049998334, 0.49999999500016656]"
grill,"[0.5000000049998334, 0.49999999500016656]"
chillies,"[0.5000000049998334, 0.49999999500016656]"
chips salad,"[0.5000000049998334, 0.49999999500016656]"
takeaway menu,"[0.5000000049998334, 0.49999999500016656]"
breadcrumbs,"[0.5000000049998334, 0.49999999500016656]"
