word,regional
omelette,"[0.9020713074451732, 0.09792869255482686]"
meat feast,"[0.9024034110573232, 0.09759658894267674]"
tomato ketchup,"[0.9026853505920767, 0.09731464940792335]"
haddock,"[0.9027106085350841, 0.09728939146491587]"
side salad,"[0.9033329508473771, 0.09666704915262289]"
title,"[0.903941269952796, 0.09605873004720394]"
basket,"[0.9043620318749672, 0.09563796812503282]"
chicken salad,"[0.905051670824012, 0.094948329175988]"
service,"[0.905067073848615, 0.09493292615138506]"
olives,"[0.9051948592189016, 0.09480514078109833]"
herbs,"[0.9054108800530558, 0.09458911994694413]"
donner wrap,"[0.9059664649839888, 0.09403353501601121]"
cookie dough,"[0.9070061409835255, 0.09299385901647451]"
quarter pounder beef burger,"[0.9070491596944735, 0.09295084030552643]"
pitta bread,"[0.907273266933379, 0.09272673306662109]"
peppers,"[0.9083461472233554, 0.09165385277664463]"
friday,"[0.9085499814183823, 0.09145001858161775]"
extras,"[0.908559624604903, 0.09144037539509692]"
bottle,"[0.908669503148063, 0.09133049685193696]"
peas,"[0.9105988136900478, 0.08940118630995218]"
chicken burger meal,"[0.9107144532292069, 0.08928554677079317]"
salmon,"[0.9119370098829156, 0.0880629901170844]"
cappuccino,"[0.9120493757952586, 0.08795062420474138]"
milkshakes,"[0.912320118088843, 0.08767988191115703]"
staff,"[0.9129327414710094, 0.08706725852899057]"
price,"[0.9134992829336149, 0.08650071706638503]"
meal deal,"[0.9139354010366121, 0.08606459896338793]"
ingredients,"[0.9145350565039406, 0.08546494349605935]"
restaurant,"[0.9145883093129288, 0.08541169068707123]"
pepper,"[0.9147177959347071, 0.08528220406529284]"
juice,"[0.9148703861808386, 0.08512961381916144]"
donner pizza,"[0.9155676603224409, 0.0844323396775591]"
kids sausage,"[0.9157125883175375, 0.08428741168246248]"
kids meals,"[0.9158127627275966, 0.08418723727240345]"
bun,"[0.9163890676052003, 0.08361093239479966]"
pepsi,"[0.9176895847348328, 0.0823104152651673]"
quarter pounder burger,"[0.9182389753152633, 0.08176102468473671]"
potato wedges,"[0.9197046311603793, 0.08029536883962071]"
vegetable burger,"[0.91984556755594, 0.08015443244405998]"
cockles,"[0.9198696062231843, 0.08013039377681572]"
chicken pizza,"[0.9206514974671158, 0.07934850253288418]"
menu,"[0.9209407026677078, 0.0790592973322922]"
bread roll,"[0.9214229126026112, 0.07857708739738882]"
tomato sauce,"[0.9217065266088277, 0.07829347339117229]"
orange,"[0.9237659343260641, 0.07623406567393588]"
ben,"[0.9243313158563005, 0.07566868414369955]"
chip,"[0.9251240957413759, 0.0748759042586241]"
lemonade,"[0.9251632124938787, 0.07483678750612137]"
pepperoni,"[0.9262103858518923, 0.07378961414810771]"
water,"[0.9262590270528195, 0.0737409729471805]"
house,"[0.9269365944080054, 0.07306340559199467]"
gravy sauce,"[0.9274289983668821, 0.07257100163311789]"
mushy peas,"[0.9291443149245022, 0.07085568507549778]"
starters,"[0.9293441519553975, 0.07065584804460244]"
mars bar,"[0.9301665728055772, 0.06983342719442276]"
tango,"[0.9302953750096095, 0.06970462499039058]"
page,"[0.9311602265629556, 0.0688397734370444]"
dish,"[0.9315225248650959, 0.0684774751349041]"
choice,"[0.9321560655578275, 0.06784393444217253]"
fish cake,"[0.9325111191383169, 0.06748888086168316]"
doner,"[0.932668544490378, 0.06733145550962201]"
selection,"[0.9329866729788866, 0.06701332702111336]"
thursday,"[0.9332478025863883, 0.06675219741361167]"
cheese burger,"[0.9348419377455498, 0.06515806225445016]"
chips cheese,"[0.9353733464608346, 0.06462665353916544]"
categories,"[0.9355574939632194, 0.06444250603678053]"
time,"[0.9358491708715498, 0.06415082912845015]"
coffee,"[0.9360122768994171, 0.06398772310058289]"
tomato,"[0.9363136667269975, 0.06368633327300256]"
kids,"[0.9364419953689126, 0.06355800463108742]"
seasons,"[0.9365631308549573, 0.06343686914504268]"
order,"[0.9367851659666224, 0.06321483403337758]"
kebab,"[0.9370060555470504, 0.06299394445294956]"
pizza deal,"[0.9370336767341878, 0.06296632326581218]"
tuesday,"[0.9370988606795753, 0.06290113932042472]"
ham,"[0.9371696890196721, 0.06283031098032782]"
doner wrap,"[0.937231924048654, 0.06276807595134608]"
ketchup,"[0.937399085092611, 0.062600914907389]"
soup,"[0.9380901897314023, 0.06190981026859769]"
day,"[0.9382725636297502, 0.06172743637024975]"
beans,"[0.9390106302051919, 0.06098936979480808]"
diet coke,"[0.9393095327813311, 0.06069046721866885]"
fanta l,"[0.9404792075661268, 0.05952079243387323]"
sunday,"[0.940511531011454, 0.05948846898854599]"
bacon,"[0.9406139474213386, 0.059386052578661405]"
salad,"[0.9407673189403043, 0.05923268105969576]"
jerrys,"[0.9408307971666806, 0.05916920283331939]"
orange l,"[0.940958003808007, 0.05904199619199303]"
bbq,"[0.9414590700092471, 0.05854092999075285]"
home,"[0.9420606008555921, 0.05793939914440795]"
toppings,"[0.9422514781656479, 0.057748521834352105]"
diet cocacola,"[0.942461459200594, 0.057538540799405985]"
sauces,"[0.9433997338362389, 0.056600266163761126]"
chicken breast,"[0.9434470096243265, 0.05655299037567348]"
butter,"[0.9435479734106981, 0.05645202658930188]"
mushroom,"[0.9436063710168701, 0.05639362898312998]"
spices,"[0.9446101123434039, 0.05538988765659617]"
