word,regional
condition,"[0.47186178309325877, 0.5281382169067412]"
postcode,"[0.4719544764548421, 0.5280455235451579]"
half pounder,"[0.4719745368839231, 0.5280254631160769]"
potato wedges,"[0.47207333601865287, 0.5279266639813471]"
way,"[0.47209505161630105, 0.527904948383699]"
pitta,"[0.4723282046052293, 0.5276717953947707]"
chicken wings,"[0.4725991974384348, 0.5274008025615652]"
specials,"[0.4728176239429547, 0.5271823760570453]"
promotions,"[0.473085102379213, 0.526914897620787]"
chicken tikka,"[0.47318646122638097, 0.526813538773619]"
kids chicken nuggets,"[0.4735217298292327, 0.5264782701707673]"
discounts,"[0.47382816953879725, 0.5261718304612027]"
comments,"[0.47395829737210005, 0.5260417026279]"
store,"[0.47404584445576026, 0.5259541555442397]"
donner wrap,"[0.4741840601160586, 0.5258159398839414]"
basket,"[0.47449102032071744, 0.5255089796792826]"
chip shop,"[0.47482969238704265, 0.5251703076129574]"
half,"[0.47492569766857395, 0.525074302331426]"
health,"[0.4752329753945277, 0.5247670246054723]"
allergy,"[0.47627643945341736, 0.5237235605465826]"
sausages,"[0.47665695916404105, 0.523343040835959]"
diet coke ltr,"[0.4767720181371712, 0.5232279818628288]"
time,"[0.47693271772849677, 0.5230672822715032]"
tuna,"[0.477404729180106, 0.522595270819894]"
cookies,"[0.4774305623879024, 0.5225694376120976]"
rice,"[0.4776842265428063, 0.5223157734571937]"
pollo,"[0.4777341475247723, 0.5222658524752277]"
cheesy,"[0.47794280398946876, 0.5220571960105312]"
chip shop takeaway order,"[0.4785469088831027, 0.5214530911168973]"
piece,"[0.47939542008377745, 0.5206045799162226]"
bit,"[0.479400661800515, 0.520599338199485]"
meat feast,"[0.4795181076655677, 0.5204818923344323]"
jalapenos,"[0.47957062706599307, 0.5204293729340069]"
loading,"[0.4798165496268345, 0.5201834503731655]"
side orders,"[0.4798231155575766, 0.5201768844424234]"
dip,"[0.47997542701179263, 0.5200245729882074]"
shot,"[0.4800557418192083, 0.5199442581807917]"
place,"[0.4800647225612621, 0.5199352774387379]"
pasty,"[0.4802556901866163, 0.5197443098133837]"
cheeseburger,"[0.4803629050316185, 0.5196370949683815]"
spam fritter,"[0.4821569869200434, 0.5178430130799566]"
coke,"[0.4824163704320995, 0.5175836295679005]"
home,"[0.4825086951590536, 0.5174913048409464]"
donner,"[0.4825136145477149, 0.5174863854522851]"
funghi,"[0.4826331987774466, 0.5173668012225534]"
bottles,"[0.4832766650788253, 0.5167233349211747]"
naan,"[0.4833472595292615, 0.5166527404707385]"
burdock,"[0.48422766306720244, 0.5157723369327976]"
bru,"[0.4842642920826139, 0.5157357079173861]"
toggle navigation,"[0.4844791980219749, 0.5155208019780251]"
pattie,"[0.48462888910475754, 0.5153711108952425]"
ice cream,"[0.4850095095802529, 0.5149904904197471]"
dandelion,"[0.48543968246691593, 0.5145603175330841]"
mince,"[0.4855471459091405, 0.5144528540908595]"
spring roll,"[0.4860236608514954, 0.5139763391485046]"
cod roe,"[0.4862378426758198, 0.5137621573241802]"
vinegar,"[0.4863334572679272, 0.5136665427320728]"
pie supper,"[0.487096575654851, 0.512903424345149]"
inferno,"[0.48730409299222055, 0.5126959070077795]"
chip roll,"[0.48824005538702986, 0.5117599446129701]"
delivery,"[0.4882722789612506, 0.5117277210387494]"
sides,"[0.48838149705282075, 0.5116185029471793]"
calzone,"[0.48840463948880997, 0.51159536051119]"
food,"[0.4890541444083383, 0.5109458555916617]"
pineapple ring,"[0.48919721847434605, 0.510802781525654]"
suey roll,"[0.48936677584062194, 0.5106332241593781]"
pasties,"[0.48956006327717727, 0.5104399367228227]"
onion pie,"[0.4896839090408479, 0.5103160909591521]"
information,"[0.48978421209641165, 0.5102157879035883]"
potato pie,"[0.4902256141893334, 0.5097743858106666]"
kidney,"[0.4912652380980297, 0.5087347619019703]"
hamburger supper,"[0.49158082722269825, 0.5084191727773018]"
pizza crunch,"[0.4916887223835218, 0.5083112776164782]"
diet cocacola,"[0.49186889755255625, 0.5081311024474437]"
mushroom pie,"[0.4925802722181626, 0.5074197277818374]"
seafood,"[0.49271358770903706, 0.5072864122909629]"
hamburger,"[0.49284943768808664, 0.5071505623119134]"
batter,"[0.4933856280595401, 0.5066143719404599]"
chicken wrap,"[0.4934725742826356, 0.5065274257173644]"
pudding supper,"[0.493864595980557, 0.506135404019443]"
macaroni cheese,"[0.4942571412498259, 0.5057428587501741]"
pop,"[0.49534007136737146, 0.5046599286326285]"
collection,"[0.49564618897294466, 0.5043538110270553]"
mayo,"[0.49595915636248566, 0.5040408436375143]"
wrap,"[0.49681576741603917, 0.5031842325839608]"
fish bites,"[0.49736086198469176, 0.5026391380153082]"
cheese pattie,"[0.4985690826092216, 0.5014309173907784]"
pizza supper,"[0.4988580395139459, 0.5011419604860541]"
desserts,"[0.5002286320926693, 0.4997713679073307]"
butter,"[0.5016124035861641, 0.4983875964138359]"
items,"[0.5023758785240235, 0.49762412147597646]"
meal deals,"[0.5028110064105182, 0.4971889935894817]"
chicken meat,"[0.5037916353789784, 0.4962083646210216]"
supper,"[0.5041858327552584, 0.49581416724474153]"
coleslaw,"[0.5043910312145069, 0.4956089687854931]"
delivery times,"[0.5049972015889546, 0.4950027984110454]"
diet bru,"[0.5070519514320531, 0.492948048567947]"
kidney pie,"[0.5070670507335854, 0.4929329492664146]"
offers,"[0.5077709101221892, 0.4922290898778107]"
meal,"[0.507906551551787, 0.492093448448213]"
chicken breast,"[0.5081307700491187, 0.49186922995088134]"
wraps,"[0.5108474067102065, 0.48915259328979355]"
pieces,"[0.5122648973217638, 0.48773510267823617]"
peppers,"[0.5132005714896706, 0.48679942851032937]"
portion,"[0.5136154873114531, 0.48638451268854693]"
toppings,"[0.5142602452969425, 0.4857397547030575]"
cheese burger,"[0.5143065539679268, 0.4856934460320732]"
pudding,"[0.5149700818488547, 0.4850299181511452]"
beef burger,"[0.5159117346497994, 0.48408826535020055]"
king rib,"[0.5176539863797198, 0.48234601362028023]"
donner meat,"[0.5199985673977496, 0.4800014326022503]"
donner kebab,"[0.5209884891433388, 0.47901151085666116]"
water,"[0.5221589497154151, 0.4778410502845849]"
tuesday,"[0.522415298651892, 0.477584701348108]"
ham,"[0.5226867122519874, 0.4773132877480127]"
cocacola,"[0.5231299670927392, 0.47687003290726077]"
chicken kebab,"[0.5235979981939161, 0.47640200180608394]"
