word,regional
fish supper,"[0.8613896962695023, 0.13861030373049754]"
butter,"[0.861434271932007, 0.13856572806799303]"
tango,"[0.8617424765509719, 0.1382575234490282]"
beans,"[0.8618285479868595, 0.13817145201314066]"
cheeseburger,"[0.8620423551848369, 0.1379576448151632]"
option,"[0.8632762565758825, 0.13672374342411733]"
chip shop,"[0.864316907602331, 0.13568309239766876]"
omelette,"[0.8645488513560846, 0.1354511486439156]"
vimto l,"[0.8652416348473301, 0.13475836515266992]"
tuesday,"[0.86543437094804, 0.13456562905195996]"
burgers,"[0.8666501707018921, 0.13334982929810787]"
pizza deal,"[0.8670249747395378, 0.1329750252604624]"
choice,"[0.8673334905793327, 0.1326665094206673]"
pie,"[0.8689197090400076, 0.13108029095999246]"
cone,"[0.8722533109543944, 0.12774668904560577]"
deals,"[0.872855577918746, 0.12714442208125407]"
prawns,"[0.8731103450432174, 0.12688965495678275]"
batter,"[0.8731161128823012, 0.12688388711769896]"
mars bar,"[0.8739429206424487, 0.12605707935755142]"
jerrys,"[0.8744176891357972, 0.125582310864203]"
kebabs,"[0.8749444871160572, 0.12505551288394268]"
cheese burger,"[0.8757266199906053, 0.12427338000939456]"
chips cheese,"[0.8760616704109506, 0.12393832958904923]"
drink,"[0.8761959662218908, 0.12380403377810932]"
coke,"[0.8765360941870309, 0.12346390581296895]"
flavour,"[0.8781905357881425, 0.1218094642118573]"
pepper,"[0.8791640891554031, 0.12083591084459691]"
salad,"[0.8799251789516265, 0.12007482104837353]"
food,"[0.8806312177439717, 0.11936878225602823]"
mushy peas,"[0.8807959664644808, 0.11920403353551912]"
bacon,"[0.8813405815722066, 0.11865941842779358]"
mushroom,"[0.8825368423829933, 0.11746315761700682]"
dog,"[0.8831217999300061, 0.11687820006999394]"
meal deals,"[0.884005939356272, 0.11599406064372807]"
cheesy,"[0.885247175034032, 0.11475282496596821]"
fanta l,"[0.8861224155737202, 0.11387758442627983]"
lettuce,"[0.887526764385528, 0.11247323561447192]"
