word,cityNumber,word_central_lon,word_central_lat,radius,median,shopNumberLessThanMedian,shopNumberLargerThanMedian,largestDistance,avgDistance,word_ratio
thursday,23,-2.5101481339298592,53.8263745401239,522050.57525148446,285521.09,35,32,650477.63,324655.86,0.28
burger with,23,-2.45702423045616,54.2136437280664,579549.9855674423,328837.58,22,25,792298.8,352837.83,0.26
green peppers,23,-1.9946452888712773,53.9786890547717,497792.9141161793,275414.52,20,18,734852.23,303557.88,0.37
wednesday,22,-2.622636222350961,53.86644483072396,442199.74767886894,289773.01,35,32,631726.5,315789.73,0.25
salad and,22,-2.227733406292118,53.9136930477174,504875.42763027106,267496.96,22,17,738221.13,320857.89,0.28
close,22,-2.0781360919950984,53.990483379215746,493658.2594831495,243610.15,23,16,626151.17,291152.03,0.46
tuesday,22,-2.5625280324127218,53.86221218020931,442332.10411927843,285785.87,34,31,627810.04,313890.24,0.25
a choice,22,-1.9047926889269622,53.7071102067589,651562.8516447169,239606.49,14,13,786445.22,317068.38,0.33
shish kebab,22,-2.236717831416458,54.27836825080008,566066.9795967576,339815.65,16,16,683344.34,345966.36,0.25
chicken wrap,22,-2.2050723022425105,53.95131294969903,431676.03553560283,242577.95,24,22,460274.39,266352.24,0.3
would like,22,-1.9132404372420684,53.849277612513404,523624.7506530102,262410.73,24,13,754670.67,310495.15,0.43
topped with,22,-2.302632500688509,54.291660640569575,432816.9614211252,261866.13,20,20,667492.84,291012.44,0.4
your order,22,-2.215471477874348,53.99594061670704,489784.80757624464,270568.26,33,21,723832.6,311487.76,0.43
pizzas,22,-2.6806031267363197,54.70054646891052,489342.1627529892,305852.38,42,23,601145.58,329251.69,0.17
takeaway in,22,-2.595916018181863,53.87262748384082,583007.593480057,289302.3,29,29,656294.39,321074.08,0.21
spicy beef,22,-2.3930475461035896,54.32051232584921,516897.69201038353,330869.22,29,23,697577.61,320722.13,0.31
you have,22,-2.0487284624017654,53.91084017241355,509057.3572428268,238760.93,31,16,758185.76,300290.98,0.32
like to,22,-2.023356360735916,53.85252832125576,520400.9010939279,264340.57,24,13,749606.99,311129.5,0.43
diet coca,22,-2.559522504563398,53.98449524203384,486811.1193978508,305904.32,28,31,623740.92,329656.16,0.24
more information,22,-1.9490550774091149,53.625437345069074,563882.3164692745,262171.24,21,18,689436.09,305638.4,0.38
kebabs,22,-2.1804373720565384,53.90582401881355,458862.70987776,277023.92,43,29,741233.22,324349.74,0.24
