word,cityNumber,word_central_lon,word_central_lat,radius,median,shopNumberLessThanMedian,shopNumberLargerThanMedian,largestDistance,avgDistance,word_ratio,regional
instantly,4,-3.8427374481754843,55.830840979955745,114074.9236627192,94924.47,9,3,327959.62,141110.08,0.92,Y
naan,12,-1.5076420607150298,52.95863089175261,342806.84807414387,113866.97,23,8,695673.09,214933.34,0.9,Y
balti,8,-1.84894055455484,53.12151313404629,542117.5246430323,133523.34,13,5,658166.09,272809.68,0.83,Y
quattro,6,-3.2040579756209056,55.40434835409142,359450.1306916316,153475.53,7,4,359450.13,174770.13,0.82,Y
crunch,5,-4.077373289603237,55.895395730638086,167834.775121837,105710.15,12,5,836022.54,245816.58,0.82,Y
parmesan,10,-2.1124843902421024,54.86998369990252,243841.53839976082,141764.2,9,7,352605.9,159641.26,0.81,Y
securely,6,-3.821410765138702,55.844599204745144,339985.2296146448,221002.29,12,3,823075.29,287737.49,0.8,Y
dandelion,8,-1.5809265987110892,53.81498189361848,221270.91814065157,130862.54,6,9,221270.92,117508.31,0.8,Y
spaghetti,8,-3.5546615510120643,55.54228992887883,413075.63684224826,261835.23,19,5,560695.2,285929.41,0.79,Y
haggis,14,-3.2407372164570383,55.55615413618704,244021.64581031576,198843.46,50,15,402801.51,216926.14,0.77,Y
skate,4,-0.018871512898765295,51.945467808912085,333154.2141586755,220448.27,10,3,333154.21,213037.77,0.77,Y
bru,14,-3.257718594207355,55.70910485798328,405285.0737439447,246500.52,44,9,629702.62,266813.33,0.75,Y
pattie,8,-1.6301696665483725,54.66395214828232,226458.0530432193,92265.08,11,9,478739.86,145582.01,0.75,Y
guava,7,-1.6694989815831338,53.71511380152651,240106.64485726622,202049.04,7,5,582093,194025.41,0.75,Y
bull,8,-2.922143882340535,55.67817355147383,385598.9622796296,194085.04,11,4,924276.77,296906.43,0.73,Y
kiev,11,-2.018269991504628,54.81489566504756,342379.57232970285,183029.05,19,9,649189.19,221143.07,0.71,Y
